"","nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn","key","nom_eni_fusion_trait_code"
"619","Salvia pratensis","Salvia pratensis","Salvia pratensis L., 1753",120685,120685,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Salvia pratensis","SALVPRATENS","SALVPRATENS"
"620","Sambucus ebulus","Sambucus ebulus","Sambucus ebulus L., 1753",120712,120712,"Angiospermes","Dipsacales","Viburnaceae",NA,NA,"Sambucus ebulus","SAMBEBULUS","SAMBEBULUS"
"621","Sambucus nigra","Sambucus nigra","Sambucus nigra L., 1753",120717,120717,"Angiospermes","Dipsacales","Viburnaceae",NA,NA,"Sambucus nigra","SAMBNIGRA","SAMBNIGRA"
"622","Poterium sanguisorba","Poterium sanguisorba","Poterium sanguisorba L., 1753",115789,115789,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium sanguisorba","POTESANGUIS","POTESANGUIS"
"623","Poterium verrucosum","Poterium verrucosum","Poterium verrucosum Link ex G.Don, 1832",115792,115792,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium verrucosum","POTEVERRUCO","POTEVERRUCO"
"624","Poterium verrucosum","Poterium verrucosum","Poterium verrucosum Link ex G.Don, 1832",115794,115792,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium verrucosum","POTEVERRUCO","POTEVERRUCO"
"625","Poterium verrucosum","Poterium verrucosum","Poterium verrucosum Link ex G.Don, 1832",115793,115792,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Poterium verrucosum","POTEVERRUCO","POTEVERRUCO"
"626","Saponaria officinalis","Saponaria officinalis","Saponaria officinalis L., 1753",120824,120824,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Saponaria officinalis","SAPOOFFICIN","SAPOOFFICIN"
"627","Scabiosa atropurpurea","Scabiosa atropurpurea","Scabiosa atropurpurea L., 1753",121316,121316,"Angiospermes","Dipsacales","Caprifoliaceae",NA,NA,"Scabiosa atropurpurea","SCABATROPUR","SCABATROPUR"
"628","Scandix pecten-veneris","Scandix pecten-veneris","Scandix pecten-veneris L., 1753",121449,121449,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Scandix pecten-veneris","SCANPECTEN-","SCANPECTEN-"
"629","Scorpiurus subvillosus","Scorpiurus subvillosus","Scorpiurus subvillosus L., 1753",121929,121929,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Scorpiurus subvillosus","SCORSUBVILL","SCORSUBVILL"
"630","Podospermum laciniatum","Podospermum laciniatum","Podospermum laciniatum (L.) DC., 1805",114468,114468,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Podospermum laciniatum","PODOLACINIA","PODOLACINIA"
"631","Scorzoneroides autumnalis","Scorzoneroides autumnalis","Scorzoneroides autumnalis (L.) Moench, 1794",121988,121988,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Scorzoneroides autumnalis","SCORAUTUMNA","SCORAUTUMNA"
"632","Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa L., 1753",122028,122028,"Angiospermes","Lamiales","Scrophulariaceae",NA,"Scrophularieae","Scrophularia nodosa","SCRONODOSA","SCRONODOSA"
