ID_ENI;NOM_SCIENTIFIQUE;ID_TaxRef;Family;Taxa name;RED LIST STATUS FR;POP. TREND;PN;Messicole;Agrotolerance;Native_Status;Residence_Time;Naturalization status;Chorology;FM Type;IndVal;P-value;Rank
Epilobium lanceolatum;Epilobium lanceolatum Sebast. & Mauri ;96191;Onagraceae;Epilobium lanceolatum Sebast. & Mauri, 1818;LC;Stable;-;-;;Native;-;-;atlantic;5;1,4;;species
Epilobium parviflorum;Epilobium parviflorum Schreb.;96229;Onagraceae;Epilobium parviflorum Schreb., 1771;LC;Stable;-;-;;Native;-;-;european;5;1,4;;species
Epilobium roseum;Epilobium roseum Schreb. ;96251;Onagraceae;Epilobium roseum Schreb., 1771;LC;Not_known;-;-;;Native;-;-;eurasiatic;4;3,2;;species
Epilobium tetragonum;Epilobium tetragonum L.;96271;Onagraceae;Epilobium tetragonum L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;6;6,4;;species
Equisetum arvense;Equisetum arvense L.;96508;Equisetaceae;Equisetum arvense L., 1753;LC;Stable;-;-;;Native;-;-;circumboreal;4;12,5;**;species
Equisetum ramosissimum;Equisetum ramosissimum Desf.;96539;Equisetaceae;Equisetum ramosissimum Desf., 1799;LC;Stable;-;-;;Native;-;-;cosmopolit;7;3,8;;species
Equisetum telmateia;Equisetum telmateia Ehrh.;96546;Equisetaceae;Equisetum telmateia Ehrh., 1783;LC;Stable;-;-;;Native;-;-;eurasiatic;7;5,8;**;species
Erigeron annuus;Erigeron annuus (L.) Desf.;96739;Asteraceae;Erigeron annuus (L.) Desf., 1804;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;5;4;*;species
Erigeron bonariensis;Erigeron bonariensis L.;96746;Asteraceae;Erigeron bonariensis L., 1753;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;7;2,1;;species
Erigeron canadensis;Erigeron canadensis L.;96749;Asteraceae;Erigeron canadensis L., 1753;NA;Not_assessed;-;-;agrotolerant;Alien;Neophyt;Invasive;introduced;5;12,2;***;species
Erigeron sumatrensis;Erigeron sumatrensis Retz.;96814;Asteraceae;Erigeron sumatrensis Retz., 1810;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;6;8,5;**;species
Erodium ciconium;Erodium ciconium (L.) L'HÇr.;96894;Geraniaceae;Erodium ciconium (L.) L'HÇr., 1789;LC;Decrease;-;-;;Native;-;-;mediterranean;7;20;***;species
Erodium cicutarium;Erodium cicutarium (L.) L'HÇr.;96895;Geraniaceae;Erodium cicutarium (L.) L'HÇr., 1789;LC;Stable;-;-;agrotolerant;Native;-;-;cosmopolit;7;28,9;***;species
Erodium malacoides;Erodium malacoides (L.) L'HÇr. ;96919;Geraniaceae;Erodium malacoides (L.) L'HÇr., 1789;LC;Decrease;-;-;;Native;-;-;mediterranean;7;4,3;*;species
Erodium moschatum;Erodium moschatum (L.) L'HÇr.;96925;Geraniaceae;Erodium moschatum (L.) L'HÇr., 1789;LC;Stable;-;-;;Native;-;-;mediterranean;7;14,9;***;species
Eruca sativa;Eruca sativa Mill.;97041;Brassicaceae;Eruca vesicaria (L.) Cav., 1802;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;7;4,3;*;species
Ervilia hirsuta;Vicia hirsuta (L.) Gray;97084;Fabaceae;Ervilia hirsuta (L.) Opiz, 1852;LC;Stable;-;-;;Native;-;-;eurasiatic;6;10,2;**;species
Vicia pubescens;Vicia pubescens (DC.) Link;97116;Fabaceae;Ervum pubescens DC., 1813;LC;Not_known;-;-;;Native;-;-;mediterranean;7;2,1;;species
Ervum tetraspermum;Vicia tetrasperma (L.) Schreb.;97128;Fabaceae;Ervum tetraspermum L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;4;1,8;;species
Eryngium campestre;Eryngium campestre L.;97141;Apiaceae;Eryngium campestre L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;4,1;;species
Erysimum cheiranthoides;Erysimum cheiranthoides L. ;97183;Brassicaceae;Erysimum cheiranthoides L., 1753;LC;Not_known;-;-;;Native;-;-;holarctic;5;0,9;;species
Eschscholzia californica;Eschscholzia californica Cham.;97346;Papaveraceae;Eschscholzia californica Cham., 1820;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;6;1,5;;species
Euonymus europaeus;Euonymus europaeus L.;609982;Celastraceae;Euonymus europaeus L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;1,4;;species
EUPATORIUM CANNABINUM;Eupatorium cannabinum L.;97434;Asteraceae;Eupatorium cannabinum L., 1753;LC;Not_known;-;-;;Native;-;-;eurasiatic;7;2,1;;species
Euphorbia characias;Euphorbia characias L. ;97478;Euphorbiaceae;Euphorbia characias L., 1753;LC;Not_known;-;-;;Native;-;-;mediterranean;7;8,5;***;species
Euphorbia cyparissias;Euphorbia cyparissias L.;97490;Euphorbiaceae;Euphorbia cyparissias L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;8,7;***;species
Euphorbia exigua;Euphorbia exigua L. ;97511;Euphorbiaceae;Euphorbia exigua L., 1753;LC;Decrease;-;-;;Native;-;-;european;2;0,7;;species
Euphorbia segetalis;Euphorbia segetalis L.;97511;Euphorbiaceae;Euphorbia exigua L., 1753;LC;Decrease;-;-;;Native;-;-;mediterranean;7;6,4;*;species
Euphorbia falcata;Euphorbia falcata L. ;97513;Euphorbiaceae;Euphorbia falcata L., 1753;LC;Decrease;-;messicole;;Native;-;-;mediterranean;7;2,1;;species
Euphorbia flavicoma;Euphorbia flavicoma DC.;97516;Euphorbiaceae;Euphorbia flavicoma DC., 1813;LC;Not_known;-;-;;Native;-;-;european;6;3;*;species
Euphorbia helioscopia;Euphorbia helioscopia L.;97537;Euphorbiaceae;Euphorbia helioscopia L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;cosmopolit;7;29,9;***;species
Euphorbia peplus;Euphorbia peplis L.;97609;Euphorbiaceae;Euphorbia peplus L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;6,4;**;species
Euphorbia serrata;Euphorbia serrata L.;97667;Euphorbiaceae;Euphorbia serrata L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;23,4;***;species
Euphorbia stricta;Euphorbia stricta L.;97676;Euphorbiaceae;Euphorbia stricta L., 1759;LC;Not_known;-;-;;Native;-;-;european;5;1,4;;species
Fagopyrum esculentum;Fagopyrum esculentum Moench;97935;Polygonaceae;Fagopyrum esculentum Moench, 1794;NA;Not_assessed;-;-;;Alien;Archaeophyt;Casual;introduced;6;0,6;;species
Falcaria vulgaris;Falcaria vulgaris Bernh.;97956;Apiaceae;Falcaria vulgaris Bernh., 1800;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,1;;species
Fallopia baldschuanica;Fallopia baldschuanica (Regel) Holub;97961;Polygonaceae;Fallopia baldschuanica (Regel) Holub, 1971;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;1;0,8;;species
Fallopia convolvulus;Fallopia convolvulus (L.) µ.Lîve;97962;Polygonaceae;Fallopia convolvulus (L.) µ.Lîve, 1970;LC;Stable;-;-;agrotolerant;Native;-;-;eurasiatic;1;17;***;species
Festuca ovina gpe;Festuca ovina L.;98425;Poaceae;Festuca ovina L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;9,5;**;species
Festuca rubra;Festuca rubra L.;98512;Poaceae;Festuca rubra L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;4;11,4;***;species
Ranunculus ficaria;Ficaria verna Huds.;98651;Ranunculaceae;Ficaria verna Huds., 1762;LC;Stable;-;-;;Native;-;-;european;5;1,3;;species
Filago germanica;Filago germanica L.;98681;Asteraceae;Filago germanica L., 1763;LC;Stable;-;-;;Native;-;-;mediterranean;5;0,8;;species
Filago pyramidata;Filago pyramidata L.;98699;Asteraceae;Filago pyramidata L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;1,2;;species
Filipendula ulmaria;Filipendula ulmaria (L.) Maxim.;98717;Rosaceae;Filipendula ulmaria (L.) Maxim., 1879;LC;Stable;-;-;;Native;-;-;eurasiatic;6;0,8;;species
