link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
166-MP-GAR-AM-M4;166;MP_GAR_AM_M4;OCCITANIE;Mais;OCC;1.50;178;120.3;Non mesure;151;20.73;18.6;313;222;8.1;12.03;118;11.98;oui;#N/A;23;#N/A;0.023;#N/A
154-MP-GAR-AM-M2;154;MP_GAR_AM_M2;OCCITANIE;Mais;OCC;0.86;309;45.2;Non mesure;91;11.25;Non mesure;239;192;6.7;4.52;169;6.50;oui;#N/A;28;#N/A;0.028;#N/A
470-MP-GAR-AM-B1;470;MP_GAR_AM_B1;OCCITANIE;Ble;OCC;1.17;348;79.7;Non mesure;169;17.11;Non mesure;303;130;5.6;7.97;51;9.89;oui;#N/A;28;#N/A;0.028;#N/A
134-MP-GAR-AV-B3;134;MP_GAR_AV_B3;OCCITANIE;Ble;OCC;1.42;315;84.2;Non mesure;167;19.17;Non mesure;247;116;5.3;8.42;155;11.08;oui;#N/A;94;#N/A;0.094;#N/A
165-MP-GAR-AM-M3;165;MP_GAR_AM_M3;OCCITANIE;Mais;OCC;1.52;290;111.4;Non mesure;206;23.32;6.2;239;184;7.7;11.14;75;13.48;oui;#N/A;110;#N/A;0.110;#N/A
480-MP-GAR-AM-B2;480;MP_GAR_AM_B2;OCCITANIE;Ble;OCC;0.98;266;91.6;Non mesure;186;14.39;Non mesure;326;110;6.8;9.16;113;8.32;oui;#N/A;46;#N/A;0.046;#N/A
474-MP-GAR-AM-M5;474;MP_GAR_AM_M5;OCCITANIE;Mais;OCC;1.23;288;71.0;Non mesure;160;18.30;10.4;351;96;8.1;7.10;95;10.58;oui;#N/A;99;#N/A;0.099;#N/A
502-MP-GAR-AM-M6;502;MP_GAR_AM_M6;OCCITANIE;Mais;OCC;0.94;239;64.3;Non mesure;158;12.28;Non mesure;249;228;5.8;6.43;126;7.10;oui;#N/A;54;#N/A;0.054;#N/A
151-MP-GAR-AM-M7;151;MP_GAR_AM_M7;OCCITANIE;Mais;OCC;1.23;133;81.9;Non mesure;147;17.40;Non mesure;269;156;6.1;8.19;296;10.06;oui;#N/A;61;#N/A;0.061;#N/A
162-MP-GAR-AV-B2;162;MP_GAR_AV_B2;OCCITANIE;Ble;OCC;1.39;99;166.7;30.0;398;16.02;86.1;204;112;8.3;16.67;101;9.26;oui;#N/A;18;#N/A;0.018;#N/A
241-MP-GAR-AM-M1;241;MP_GAR_AM_M1;OCCITANIE;Mais;OCC;1.23;238;69.1;Non mesure;144;20.14;Non mesure;241;158;5.4;6.91;220;11.64;oui;#N/A;90;#N/A;0.090;#N/A
170-MP-GAR-AV-S2;170;MP_GAR_AV_S2;OCCITANIE;Salade;OCC;0.70;139;81.8;Non mesure;125;13.74;2.1;125;256;7.6;8.18;353;7.94;oui;13.2;228;3.50;0.228;#N/A
250-MP-GAR-AV-S1;250;MP_GAR_AV_S1;OCCITANIE;Salade;OCC;0.77;171;81.5;Non mesure;138;13.04;2.1;164;245;7.6;8.15;280;7.54;oui;42.0;56;14.40;0.056;#N/A
324-MP-GAR-AV-S3;324;MP_GAR_AV_S3;OCCITANIE;Salade;OCC;1.15;250;84.3;11.3;156;16.78;57.6;192;301;8.3;8.43;44;9.70;oui;24.8;53;3.56;0.053;#N/A
541-50140-CA50-03;541;50140-CA50-03;NORMANDIE;Mais;NOR;1.87;401;101.1;Non mesure;166;31.71;Non mesure;225;118;6.2;10.11;91;18.33;oui;#N/A;62;#N/A;0.062;#N/A
298-50086-CA50-01;298;50086-CA 50-01 ;NORMANDIE;Mais;NOR;3.29;259;127.3;Non mesure;191;54.93;Non mesure;181;186;5.4;12.73;182;31.75;oui;#N/A;57;#N/A;0.057;#N/A
140-PDL-09;140;PDL-09;PAYS DE LOIRE;Mais;PDL;2.00;278;94.5;Non mesure;126;29.55;Non mesure;412;92;6.3;9.45;93;17.08;oui;#N/A;108;#N/A;0.108;#N/A
392-PDL-06;392;PDL-06;PAYS DE LOIRE;Ble;PDL;2.67;205;112.2;Non mesure;230;34.77;Non mesure;447;64;5.4;11.22;54;20.10;oui;#N/A;55;#N/A;0.055;#N/A
163-PDL-07;163;PDL-07;PAYS DE LOIRE;Mais;PDL;2.28;265;88.3;Non mesure;141;32.56;Non mesure;378;108;6.6;8.83;107;18.82;oui;#N/A;39;#N/A;0.039;#N/A
157-PDL-01;157;PDL-01;PAYS DE LOIRE;Ble;PDL;2.84;156;118.0;Non mesure;252;35.83;Non mesure;320;79;6.8;11.80;194;20.71;oui;#N/A;39;#N/A;0.039;#N/A
141-PDL-08;141;PDL-08;PAYS DE LOIRE;Mais;PDL;2.35;306;99.9;Non mesure;163;33.41;Non mesure;362;79;6.8;9.99;90;19.31;oui;#N/A;72;#N/A;0.072;#N/A
164-PDL-02;164;PDL-02;PAYS DE LOIRE;Ble;PDL;1.95;181;76.0;Non mesure;139;28.32;Non mesure;201;67;5.4;7.60;411;16.37;oui;#N/A;61;#N/A;0.061;#N/A
562-PDL-37;562;PDL-37;PAYS DE LOIRE;Ble;PDL;1.06;304;62.1;Non mesure;109;15.10;Non mesure;235;101;6.3;6.21;251;8.73;oui;#N/A;33;#N/A;0.033;#N/A
142-PDL-13;142;PDL-13;PAYS DE LOIRE;Mais;PDL;1.45;59;161.0;Non mesure;249;20.92;5.2;71;214;7.8;16.10;402;12.09;oui;#N/A;51;#N/A;0.051;#N/A
139-PDL-14;139;PDL-14;PAYS DE LOIRE;Ble;PDL;1.65;171;60.1;Non mesure;116;25.52;Non mesure;213;91;5.7;6.01;409;14.75;oui;#N/A;32;#N/A;0.032;#N/A
553-PDL-36;553;PDL-36;PAYS DE LOIRE;Salade;PDL;0.88;19;73.0;Non mesure;74;10.24;14.5;42;116;8.4;7.30;734;5.92;oui;9.3;73;2.56;0.073;#N/A
432-PDL-23;432;PDL-23;PAYS DE LOIRE;Salade;PDL;0.94;135;101.0;10.5;170;14.71;42.5;102;329;8.4;10.10;222;8.50;oui;8.5;37;2.23;0.037;#N/A
521-PDL-20;521;PDL-20;PAYS DE LOIRE;Vigne;PDL;1.55;270;121.2;Non mesure;247;24.72;Non mesure;234;146;6.5;12.12;102;14.29;oui;33.3;56;12.03;0.056;#N/A
098-PDL-21;98;PDL-21;PAYS DE LOIRE;Vigne;PDL;1.76;183;153.2;Non mesure;194;31.35;9.3;197;146;7.8;15.32;271;18.12;oui;136.1;125;68.91;0.125;#N/A
111-PDL-19;111;PDL-19;PAYS DE LOIRE;Vigne;PDL;1.23;136;67.4;Non mesure;137;19.46;Non mesure;305;128;5.5;6.74;293;11.25;oui;87.1;62;30.45;0.062;#N/A
302-AQ-012;302;AQ-012;NOUVELLE-AQUITAINE;Vigne;N-A;1.00;199;50.9;Non mesure;142;14.69;Non mesure;297;198;6.0;5.09;165;8.49;oui;13.9;15;4.80;0.015;#N/A
557-AQ-041;557;AQ-041;NOUVELLE-AQUITAINE;Mais;N-A;1.23;176;71.3;Non mesure;157;17.63;Non mesure;312;186;6.4;7.13;170;10.19;oui;#N/A;45;#N/A;0.045;#N/A
308-AQ-029;308;AQ-029;NOUVELLE-AQUITAINE;Mais;N-A;0.87;231;77.4;Non mesure;185;14.79;Non mesure;374;164;6.0;7.74;47;8.55;oui;#N/A;23;#N/A;0.023;#N/A
311-AQ-031;311;AQ-031;NOUVELLE-AQUITAINE;Mais;N-A;1.16;324;57.8;Non mesure;133;22.84;Non mesure;321;135;6.1;5.78;87;13.20;oui;#N/A;193;#N/A;0.193;#N/A
309-AQ-030;309;AQ-030;NOUVELLE-AQUITAINE;Mais;N-A;0.89;13;59.4;Non mesure;33;23.80;Non mesure;29;233;6.1;5.94;693;13.76;oui;#N/A;191;#N/A;0.191;#N/A
368-AQ-011;368;AQ-011;NOUVELLE-AQUITAINE;Vigne;N-A;2.10;37;188.7;101.8;388;34.72;220.5;67;64;8.2;18.87;224;20.07;oui;182.0;30;56.74;0.030;#N/A
344-AQ-016;344;AQ-016;NOUVELLE-AQUITAINE;Mais;N-A;0.72;61;29.3;Non mesure;19;15.31;Non mesure;45;146;5.9;2.93;729;8.85;oui;#N/A;82;#N/A;0.082;#N/A
068-PCB2;68;PCB2;NOUVELLE-AQUITAINE;Ble;N-A;1.32;279;83.2;Non mesure;166;21.88;Non mesure;363;61;6.7;8.32;131;12.65;oui;#N/A;75;#N/A;0.075;#N/A
001-PCB1;1;PCB1;NOUVELLE-AQUITAINE;Ble;N-A;1.12;321;77.4;Non mesure;188;17.51;Non mesure;361;57;6.5;7.74;72;10.12;oui;#N/A;75;#N/A;0.075;#N/A
226-PCM3;226;PCM3;NOUVELLE-AQUITAINE;Mais;N-A;1.75;278;106.8;Non mesure;308;30.26;Non mesure;270;55;5.5;10.68;90;17.49;oui;#N/A;74;#N/A;0.074;#N/A
017-PCS3;17;PCS3;NOUVELLE-AQUITAINE;Salade;N-A;0.61;21;40.2;Non mesure;45;10.09;2.1;23;456;7.9;4.02;453;5.83;oui;<8;105;2.34;0.105;#N/A
046-PCM1;46;PCM1;NOUVELLE-AQUITAINE;Mais;N-A;2.94;101;181.4;107.9;275;46.45;455.5;139;16;8.0;18.14;13;26.85;oui;#N/A;25;#N/A;0.025;#N/A
102-PCM2;102;PCM2;NOUVELLE-AQUITAINE;Mais;N-A;2.07;267;104.7;Non mesure;176;35.59;Non mesure;272;113;6.8;10.47;172;20.57;oui;#N/A;75;#N/A;0.075;#N/A
121-PCM5;121;PCM5;NOUVELLE-AQUITAINE;Mais;N-A;1.36;295;86.7;Non mesure;180;23.18;Non mesure;424;40;6.5;8.67;61;13.40;oui;#N/A;67;#N/A;0.067;#N/A
105-PCS1;105;PCS1;NOUVELLE-AQUITAINE;Salade;N-A;0.67;47;98.2;Non mesure;127;12.20;4.2;58;386;8.1;9.82;378;7.05;oui;10.1;94;4.15;0.094;#N/A
059-PCM4;59;PCM4;NOUVELLE-AQUITAINE;Mais;N-A;1.90;280;146.6;Non mesure;260;30.69;Non mesure;386;31;6.8;14.66;43;17.74;oui;#N/A;120;#N/A;0.120;#N/A
054-PCS2;54;PCS2;NOUVELLE-AQUITAINE;Salade;N-A;0.80;43;66.2;Non mesure;75;16.69;2.1;75;394;6.8;6.62;410;9.65;oui;66.5;94;32.26;0.094;#N/A
522-PCV2;522;PCV2;NOUVELLE-AQUITAINE;Vigne;N-A;2.68;41;193.0;127.3;333;46.52;378.8;136;44;8.2;19.30;67;26.89;oui;99.8;127;36.65;0.127;#N/A
053-PCV1;53;PCV1;NOUVELLE-AQUITAINE;Vigne;N-A;1.92;165;201.1;32.9;333;35.08;111.3;212;100;8.2;20.11;79;20.28;oui;212.7;163;82.74;0.163;#N/A
090-PCV3;90;PCV3;NOUVELLE-AQUITAINE;Vigne;N-A;1.13;105;76.7;Non mesure;107;22.27;Non mesure;93;341;6.4;7.67;354;12.87;oui;58.3;56;32.07;0.056;#N/A
395-27044-CA27-03;395;27044_CA27_03;NORMANDIE;Ble;NOR;1.38;452;91.1;Non mesure;124;20.33;18.7;306;79;8.0;9.11;20;11.75;oui;#N/A;33;#N/A;0.033;#N/A
404-27080-CA27-01;404;27080_CA27_01;NORMANDIE;Ble;NOR;1.47;253;151.4;Non mesure;202;23.74;7.3;169;197;8.0;15.14;172;13.72;oui;#N/A;67;#N/A;0.067;#N/A
534-27044-CA27-04;534;27044-CA27-04;NORMANDIE;Ble;NOR;1.24;474;101.1;Non mesure;140;19.62;4.2;259;92;7.9;10.11;31;11.34;oui;#N/A;54;#N/A;0.054;#N/A
535-27080-CA27-05;535;27080-CA27-05;NORMANDIE;Ble;NOR;1.25;481;111.1;Non mesure;191;20.79;Non mesure;247;67;6.7;11.11;14;12.02;oui;#N/A;40;#N/A;0.040;#N/A
048-IF-077-01;48;IF_077_01;ILE-DE-FRANCE;Ble;IDF;1.95;8;207.9;168.5;340;24.74;601.5;32;11;8.2;20.79;7;14.30;oui;#N/A;67;#N/A;0.067;183.5
023-IF-077-02;23;IF_077_02;ILE-DE-FRANCE;Salade;IDF;1.68;292;155.3;32.1;267;27.54;117.4;226;53;8.2;15.53;44;15.92;oui;20.0;120;4.19;0.120;#N/A
009-IF-077-04;9;IF_077_04;ILE-DE-FRANCE;Salade;IDF;1.14;246;53.9;Non mesure;79;18.20;3.1;158;405;7.6;5.39;109;10.52;oui;10.5;154;6.19;0.154;#N/A
190-IF-077-03;190;IF_077_03;ILE-DE-FRANCE;Ble;IDF;1.16;351;126.7;Non mesure;228;16.52;5.2;281;78;7.9;12.67;55;9.55;oui;#N/A;76;#N/A;0.076;#N/A
218-IF-077-06;218;IF_077_06;ILE-DE-FRANCE;Mais;IDF;1.29;414;111.4;Non mesure;177;20.62;2.1;221;108;7.9;11.14;78;11.92;oui;#N/A;126;#N/A;0.126;#N/A
118-PCM11;118;PCM11;NOUVELLE-AQUITAINE;Mais;N-A;3.81;63;216.2;76.8;424;56.78;261.8;155;37;8.2;21.62;60;32.82;oui;#N/A;87;#N/A;0.087;#N/A
092-PCM12;92;PCM12;NOUVELLE-AQUITAINE;Mais;N-A;3.78;42;191.6;147.5;374;58.27;479.8;88;9;8.2;19.16;7;33.68;oui;#N/A;32;#N/A;0.032;185.0
101-PCB8;101;PCB8;NOUVELLE-AQUITAINE;Ble;N-A;3.23;53;172.3;149.3;381;47.66;413.5;135;8;8.3;17.23;10;27.55;oui;#N/A;55;#N/A;0.055;187.0
228-14170-CREPAN14-04;228;14170-CREPAN14-04;NORMANDIE;Ble;NOR;1.16;518;101.9;Non mesure;171;17.78;<2;233;76;6.8;10.19;2;10.28;oui;#N/A;93;#N/A;0.093;#N/A
112-14355-AGRIAL-02;112;14355-AGRIAL-02;NORMANDIE;Ble;NOR;2.34;274;128.5;80.5;173;33.04;363.1;145;40;8.3;12.85;5;19.10;oui;#N/A;107;#N/A;0.107;#N/A
548-14170-CREPAN14-08;548;14170-CREPAN14-08;NORMANDIE;Ble;NOR;2.17;461;135.0;15.8;206;31.95;93.5;177;50;8.2;13.50;11;18.47;oui;#N/A;37;#N/A;0.037;#N/A
366-14170-CREPAN14-01;366;14170-CREPAN14-01;NORMANDIE;Ble;NOR;1.96;499;130.0;Non mesure;198;29.01;2.1;219;76;7.5;13.00;4;16.77;oui;#N/A;145;#N/A;0.145;#N/A
554-14680-CREPAN14-09;554;14680_CREPAN14_09;NORMANDIE;Mais;NOR;2.77;317;156.2;Non mesure;251;41.68;2.1;238;84;6.6;15.62;108;24.09;oui;#N/A;98;#N/A;0.098;#N/A
116-14170-CREPAN14-05;116;14170-CREPAN14-05;NORMANDIE;Ble;NOR;1.37;473;120.9;Non mesure;216;20.66;2.1;237;69;7.2;12.09;3;11.94;oui;#N/A;125;#N/A;0.125;#N/A
094-14170-CREPAN14-07;94;14170-CREPAN14-07;NORMANDIE;Ble;NOR;1.58;569;102.1;Non mesure;145;23.72;<2;207;72;7.0;10.21;6;13.71;oui;#N/A;78;#N/A;0.078;#N/A
115-14170-CREPAN14-02;115;14170-CREPAN14-02;NORMANDIE;Ble;NOR;1.84;449;157.4;Non mesure;228;25.45;6.2;271;43;8.1;15.74;3;14.71;oui;#N/A;58;#N/A;0.058;#N/A
117-14170-CREPAN14-03;117;14170-CREPAN14-03;NORMANDIE;Ble;NOR;1.82;164;78.4;147.9;103;28.70;621.6;79;24;8.4;7.84;9;16.59;oui;#N/A;40;#N/A;0.040;189.0
003-LR-M-34-1;3;LR_M_34_1;OCCITANIE;Mais;OCC;1.06;165;96.7;37.0;219;15.10;134.7;230;191;8.5;9.67;60;8.73;oui;#N/A;46;#N/A;0.046;#N/A
004-LR-M-34-2;4;LR_M_34_2;OCCITANIE;Mais;OCC;0.76;183;66.1;17.5;151;11.80;78.9;129;400;8.5;6.61;58;6.82;oui;#N/A;134;#N/A;0.134;#N/A
065-LR-V-34-2;65;LR_V_34_2;OCCITANIE;Vigne;OCC;0.90;55;102.0;138.4;247;15.59;456.5;100;92;8.5;10.20;50;9.01;oui;69.0;32;23.55;0.032;133.5
196-LR-V-11-1;196;LR_V_11_1;OCCITANIE;Vigne;OCC;0.87;128;161.6;Non mesure;294;10.95;12.5;176;163;8.1;16.16;226;6.33;oui;38.0;63;10.32;0.063;#N/A
066-LR-V-34-1;66;LR_V_34_1;OCCITANIE;Vigne;OCC;0.85;99;68.4;Non mesure;71;16.78;2.1;74;273;7.8;6.84;481;9.70;oui;93.8;83;52.88;0.083;#N/A
197-LR-V-11-2;197;LR_V_11_2;OCCITANIE;Vigne;OCC;0.67;100;134.5;13.6;179;7.85;21.8;137;152;8.5;13.45;410;4.54;oui;43.8;20;10.20;0.020;#N/A
155-PDL-05;155;PDL-05;PAYS DE LOIRE;Ble;PDL;1.78;383;123.3;Non mesure;217;28.13;2.1;293;69;6.9;12.33;37;16.26;oui;#N/A;64;#N/A;0.064;#N/A
156-PDL-03;156;PDL-03;PAYS DE LOIRE;Mais;PDL;1.40;459;87.9;Non mesure;139;20.05;Non mesure;315;69;6.8;8.79;18;11.59;oui;#N/A;21;#N/A;0.021;#N/A
045-PDL-10;45;PDL-10;PAYS DE LOIRE;Mais;PDL;1.19;171;53.2;Non mesure;69;17.65;Non mesure;89;296;6.6;5.32;375;10.20;oui;#N/A;117;#N/A;0.117;#N/A
159-PDL-04;159;PDL-04;PAYS DE LOIRE;Ble;PDL;1.78;325;80.4;Non mesure;162;26.68;Non mesure;319;81;6.1;8.04;113;15.42;oui;#N/A;26;#N/A;0.026;#N/A
044-PDL-11;44;PDL-11;PAYS DE LOIRE;Mais;PDL;2.67;182;242.7;Non mesure;347;26.78;2.1;154;91;7.2;24.27;224;15.48;oui;#N/A;81;#N/A;0.081;#N/A
238-PDL-12;238;PDL-12;PAYS DE LOIRE;Mais;PDL;1.02;120;98.8;Non mesure;134;14.95;9.4;91;178;8.1;9.88;467;8.64;oui;#N/A;29;#N/A;0.029;#N/A
067-LR-V-34-5;67;LR_V_34_5;OCCITANIE;Vigne;OCC;1.20;342;97.0;Non mesure;182;22.59;<2;198;164;7.2;9.70;113;13.06;oui;48.6;101;22.99;0.101;#N/A
364-LR-V-30-1;364;LR_V_30_1;OCCITANIE;Vigne;OCC;1.70;135;81.3;25.6;90;25.62;145.1;41;460;8.1;8.13;129;14.81;oui;96.7;73;40.18;0.073;#N/A
431-LR-V-30-2;431;LR_V_30_2;OCCITANIE;Vigne;OCC;0.94;72;53.4;41.0;88;15.88;206.1;78;287;8.4;5.34;269;9.18;oui;57.6;14;25.62;0.014;#N/A
300-LR-S-30-1;300;LR_S_30_1;OCCITANIE;Salade;OCC;0.96;104;94.8;135.6;199;13.11;518.4;129;44;8.4;9.48;5;7.58;oui;13.0;69;3.28;0.069;64.5
058-LR-V-30-4;58;LR_V_30_4;OCCITANIE;Vigne;OCC;1.77;182;219.7;21.9;432;21.90;76.8;198;93;8.4;21.97;18;12.66;oui;33.2;62;6.80;0.062;#N/A
500-AQ-008;500;AQ-008;NOUVELLE-AQUITAINE;Vigne;N-A;0.93;275;109.9;Non mesure;226;15.15;10.4;228;84;8.1;10.99;177;8.76;oui;219.5;153;90.05;0.153;#N/A
381-BOURG-04-VI;381;BOURG-04-VI;BOURGOGNE-FRANCHE-COMTE;Vigne;BFC;1.12;144;147.3;Non mesure;281;16.56;<2;215;113;7.1;14.73;247;9.57;oui;45.7;30;17.25;0.030;#N/A
383-BOURG-05-VI;383;BOURG-05-VI;BOURGOGNE-FRANCHE-COMTE;Vigne;BFC;1.23;282;162.2;Non mesure;259;23.53;<2;253;161;7.1;16.22;45;13.60;oui;107.4;62;48.32;0.062;#N/A
382-BOURG-06-VI;382;BOURG-06-VI;BOURGOGNE-FRANCHE-COMTE;Vigne;BFC;1.54;158;166.4;47.6;325;24.65;267.0;190;33;8.4;16.64;26;14.25;oui;127.0;115;41.48;0.115;#N/A
327-BOURG-21-BH;327;BOURG-21-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;2.72;154;190.6;40.8;328;42.40;217.5;231;16;8.3;19.06;53;24.51;oui;#N/A;87;#N/A;0.087;#N/A
330-BOURG-22-BH;330;BOURG-22-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;2.60;230;217.2;Non mesure;367;43.58;14.6;365;14;7.8;21.72;10;25.19;oui;#N/A;82;#N/A;0.082;#N/A
333-BOURG-13-MA;333;BOURG-13-MA;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;0.95;364;71.4;Non mesure;119;15.14;<2;310;123;6.9;7.14;84;8.75;oui;#N/A;51;#N/A;0.051;#N/A
005-IF-077-10;5;IF_077_10;ILE-DE-FRANCE;Salade;IDF;1.58;60;69.1;Non mesure;25;27.59;11.4;43;192;7.6;6.91;668;15.95;oui;21.8;175;6.77;0.175;#N/A
103-IF-077-05;103;IF_077_05;ILE-DE-FRANCE;Mais;IDF;0.95;242;66.8;Non mesure;91;16.21;2.1;159;380;7.9;6.68;126;9.37;oui;#N/A;79;#N/A;0.079;#N/A
439-PACA-17;439;PACA-17;PROVENCE-ALPES-COTE D'AZUR;Mais;PACA;1.75;200;97.8;27.6;191;26.59;84.3;158;237;8.2;9.78;130;15.37;oui;#N/A;19;#N/A;0.019;#N/A
440-PACA-16;440;PACA-16;PROVENCE-ALPES-COTE D'AZUR;Mais;PACA;1.39;90;84.7;135.1;176;22.73;452.8;114;129;8.5;8.47;38;13.14;oui;#N/A;56;#N/A;0.056;146.0
446-PACA-18;446;PACA-18;PROVENCE-ALPES-COTE D'AZUR;Mais;PACA;1.80;22;199.0;137.8;413;26.33;306.9;136;71;8.4;19.90;51;15.22;oui;#N/A;32;#N/A;0.032;142.0
353-PACA-07;353;PACA-07;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;0.44;103;81.7;22.6;159;6.76;107.1;89;240;8.5;8.17;301;3.91;oui;35.6;12;8.42;0.012;#N/A
303-PACA-06;303;PACA-06;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;1.85;67;171.0;94.9;331;29.51;315.7;108;84;8.2;17.10;94;17.06;oui;98.3;25;28.12;0.025;#N/A
494-PACA-08;494;PACA-08;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;0.62;160;89.6;35.1;187;8.46;212.9;113;224;8.4;8.96;103;4.89;oui;38.6;16;10.26;0.016;#N/A
304-PACA-04;304;PACA-04;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;0.45;108;49.6;Non mesure;66;10.03;<2;133;186;7.7;4.96;506;5.80;oui;44.8;57;19.67;0.057;#N/A
380-PACA-05;380;PACA-05;PROVENCE-ALPES-COTE D'AZUR;Vigne;PACA;0.80;111;164.1;18.1;289;10.73;35.5;190;143;8.2;16.41;233;6.20;oui;69.6;9;17.12;0.009;#N/A
219-IF-077-12;219;IF_077_12;ILE-DE-FRANCE;Mais;IDF;1.24;381;115.4;Non mesure;192;18.60;2.1;199;156;7.4;11.54;69;10.75;oui;#N/A;107;#N/A;0.107;#N/A
040-IF-077-09;40;IF_077_09;ILE-DE-FRANCE;Ble;IDF;1.25;325;94.2;Non mesure;126;18.29;2.1;265;183;7.6;9.42;98;10.57;oui;#N/A;39;#N/A;0.039;#N/A
513-IF-077-13;513;IF_077_13;ILE-DE-FRANCE;Mais;IDF;1.18;476;126.8;Non mesure;191;17.61;<2;276;39;7.1;12.68;16;10.18;oui;#N/A;50;#N/A;0.050;#N/A
030-IF-077-08;30;IF_077_08;ILE-DE-FRANCE;Ble;IDF;1.16;275;85.3;Non mesure;129;18.13;<2;233;247;7.2;8.53;114;10.48;oui;#N/A;82;#N/A;0.082;#N/A
031-IF-077-07;31;IF_077_07;ILE-DE-FRANCE;Ble;IDF;1.33;351;170.0;Non mesure;257;18.51;3.1;282;63;7.7;17.00;43;10.70;oui;#N/A;77;#N/A;0.077;#N/A
357-BLEPLA1;357;BLEPLA1;BRETAGNE;Ble;BRE;2.24;341;100.5;Non mesure;139;40.36;2.1;327;116;6.1;10.05;75;23.33;oui;#N/A;122;#N/A;0.122;#N/A
216-BLEJPT1;216;BLEJPT1;BRETAGNE;Ble;BRE;2.67;211;108.0;Non mesure;265;36.99;2.1;331;118;5.8;10.80;73;21.38;oui;#N/A;74;#N/A;0.074;#N/A
263-MAIDBO1;263;MAIDBO1;BRETAGNE;Mais;BRE;1.42;397;83.7;Non mesure;144;21.05;<2;237;131;6.8;8.37;90;12.17;oui;#N/A;118;#N/A;0.118;#N/A
289-MAISMO1;289;MAISMO1;BRETAGNE;Mais;BRE;1.45;242;142.8;74.8;323;19.32;157.6;239;32;8.2;14.28;6;11.17;oui;#N/A;45;#N/A;0.045;#N/A
201-MAIAGE1;201;MAIAGE1;BRETAGNE;Mais;BRE;1.93;368;86.1;Non mesure;158;33.16;2.1;213;149;6.4;8.61;112;19.17;oui;#N/A;158;#N/A;0.158;#N/A
377-BLERJO1;377;BLERJO1;BRETAGNE;Ble;BRE;1.83;453;92.9;Non mesure;161;25.36;2.1;266;74;6.3;9.29;44;14.66;oui;#N/A;222;#N/A;0.222;#N/A
264-BLEAGE2;264;BLEAGE2;BRETAGNE;Ble;BRE;2.08;154;98.6;Non mesure;203;28.91;2.1;350;147;6.9;9.86;145;16.71;oui;#N/A;85;#N/A;0.085;#N/A
130-BLEAGE1;130;BLEAGE1;BRETAGNE;Ble;BRE;1.83;384;93.8;Non mesure;155;29.72;2.1;359;51;5.8;9.38;49;17.18;oui;#N/A;121;#N/A;0.121;#N/A
376-BOURG-24-BH;376;BOURG-24-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;1.65;147;166.7;Non mesure;341;22.58;13.5;247;40;8.1;16.67;212;13.05;oui;#N/A;49;#N/A;0.049;#N/A
372-BOURG-23-BH;372;BOURG-23-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;1.50;324;100.9;Non mesure;166;22.32;8.4;409;44;8.0;10.09;48;12.90;oui;#N/A;29;#N/A;0.029;#N/A
071-SALNME2;71;SALNME2;BRETAGNE;Salade;BRE;1.10;495;73.4;Non mesure;109;16.35;<2;185;158;6.3;7.34;53;9.45;oui;14.2;106;4.01;0.106;#N/A
072-SALNME1;72;SALNME1;BRETAGNE;Salade;BRE;1.24;338;71.2;Non mesure;59;19.96;3.1;118;190;7.7;7.12;291;11.54;oui;11.6;175;4.55;0.175;#N/A
