link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
544-AL024;544;AL024;GRAND-EST;Mais;G-E;2.35;195;222.2;Non mesure;431;21.52;17.6;290;47;7.9;22.22;19;12.44;OUI;#N/A;55;#N/A;0.055;#N/A
444-88508;444;88508;GRAND-EST;Ble;G-E;1.27;188;104.4;Non mesure;225;18.77;Non mesure;522;35;6.4;10.44;31;10.85;OUI;#N/A;23;#N/A;0.023;#N/A
475-88495;475;88495;GRAND-EST;Mais;G-E;1.46;244;104.2;Non mesure;195;21.38;Non mesure;426;86;5.9;10.42;49;12.36;OUI;#N/A;24;#N/A;0.024;#N/A
476-88183;476;88183;GRAND-EST;Ble;G-E;2.34;182;209.8;Non mesure;423;24.50;7.3;235;110;7.1;20.98;44;14.16;OUI;#N/A;68;#N/A;0.068;#N/A
518-AL020;518;AL020;GRAND-EST;Mais;G-E;1.06;273;128.0;Non mesure;239;16.28;5.2;238;148;7.2;12.80;96;9.41;OUI;#N/A;73;#N/A;0.073;#N/A
460-AL021;460;AL021;GRAND-EST;Mais;G-E;2.06;415;123.0;10.0;186;31.57;42.7;329;19;8.2;12.30;9;18.25;OUI;#N/A;106;#N/A;0.106;#N/A
029-AL007;29;AL007;GRAND-EST;Mais;G-E;1.03;159;81.4;36.3;180;16.04;185.8;161;216;8.6;8.14;97;9.27;OUI;#N/A;25;#N/A;0.025;#N/A
509-AL010;509;AL010;GRAND-EST;Vigne;G-E;1.16;143;77.0;Non mesure;82;19.84;3.1;203;85;7.0;7.70;483;11.47;OUI;165.9;123;107.55;0.123;#N/A
294-AL012;294;AL012;GRAND-EST;Vigne;G-E;0.94;156;86.0;Non mesure;121;17.84;4.2;202;136;7.3;8.60;381;10.31;OUI;97.6;141;69.36;0.141;#N/A
514-AL014;514;AL014;GRAND-EST;Vigne;G-E;0.68;66;67.5;Non mesure;61;13.36;4.2;99;139;7.6;6.75;632;7.72;OUI;159.1;100;98.35;0.100;#N/A
435-54466;435;54466;GRAND-EST;Salade;G-E;2.15;300;190.0;Non mesure;312;31.69;Non mesure;268;112;6.7;19.00;8;18.32;OUI;16.0;25;3.32;0.025;#N/A
461-AL019;461;AL019;GRAND-EST;Vigne;G-E;1.64;150;139.5;53.8;290;24.44;230.2;195;74;8.2;13.95;61;14.13;OUI;69.4;69;22.48;0.069;#N/A
378-57452;378;57452;GRAND-EST;Salade;G-E;1.31;125;101.3;Non mesure;140;23.61;5.2;169;190;7.5;10.13;370;13.65;OUI;11.2;198;3.89;0.198;#N/A
348-54303;348;54303;GRAND-EST;Salade;G-E;1.39;180;124.9;Non mesure;181;25.83;5.2;245;174;7.4;12.49;215;14.93;OUI;<8;196;1.86;0.196;#N/A
371-AQ-035;371;AQ-035;NOUVELLE-AQUITAINE;Ble;N-A;1.61;102;184.0;Non mesure;425;26.37;10.4;437;9;7.6;18.40;17;15.24;OUI;#N/A;43;#N/A;0.043;#N/A
370-AQ-037;370;AQ-037;NOUVELLE-AQUITAINE;Mais;N-A;3.22;53;243.0;5.0;387;51.64;53.0;211;52;7.9;24.30;244;29.85;OUI;#N/A;295;#N/A;0.295;#N/A
369-AQ-036;369;AQ-036;NOUVELLE-AQUITAINE;Mais;N-A;1.63;185;131.8;12.5;210;25.95;37.5;201;189;8.1;13.18;177;15.00;OUI;#N/A;184;#N/A;0.184;#N/A
354-AQ-034;354;AQ-034;NOUVELLE-AQUITAINE;Vigne;N-A;0.76;335;46.9;Non mesure;84;12.87;Non mesure;175;251;6.2;4.69;155;7.44;OUI;86.8;19;40.03;0.019;#N/A
349-AQ-033;349;AQ-033;NOUVELLE-AQUITAINE;Vigne;N-A;1.45;235;84.9;Non mesure;105;24.53;4.2;206;101;7.1;8.49;349;14.18;OUI;139.5;76;66.79;0.076;#N/A
057-BOURG-17-BH;57;BOURG-17-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;2.53;126;292.4;46.3;467;28.70;132.3;179;67;8.0;29.24;29;16.59;OUI;#N/A;26;#N/A;0.026;#N/A
183-BOURG-15-MA;183;BOURG-15-MA;BOURGOGNE-FRANCHE-COMTE;Mais;BFC;2.15;252;169.2;Non mesure;298;30.34;Non mesure;297;135;6.6;16.92;18;17.54;OUI;#N/A;23;#N/A;0.023;#N/A
210-BOURG-16-BH;210;BOURG-16-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;2.63;16;238.1;93.8;577;35.34;223.1;174;5;8.2;23.81;5;20.43;OUI;#N/A;54;#N/A;0.054;#N/A
056-BOURG-18-BH;56;BOURG-18-BH;BOURGOGNE-FRANCHE-COMTE;Ble;BFC;2.30;200;237.4;35.0;388;25.50;41.6;284;50;8.3;23.74;47;14.74;OUI;#N/A;25;#N/A;0.025;#N/A
489-BOURG-01-VI;489;BOURG-01-VI;BOURGOGNE-FRANCHE-COMTE;Vigne;BFC;1.68;63;129.5;98.8;327;28.89;388.3;117;27;8.4;12.95;78;16.70;OUI;30.9;90;7.85;0.090;#N/A
488-BOURG-02-VI;488;BOURG-02-VI;BOURGOGNE-FRANCHE-COMTE;Vigne;BFC;2.38;135;230.8;36.3;477;38.16;95.6;215;27;8.2;23.08;51;22.06;OUI;171.1;237;73.19;0.237;#N/A
329-BOURG-03-VI;329;BOURG-03-VI;BOURGOGNE-FRANCHE-COMTE;Vigne;BFC;2.64;72;227.7;51.3;484;34.70;198.5;190;14;8.3;22.77;42;20.06;OUI;197.0;162;44.06;0.162;#N/A
070-PCB5;70;PCB5;NOUVELLE-AQUITAINE;Ble;N-A;4.39;122;225.6;71.3;345;65.60;307.9;194;20;8.0;22.56;12;37.92;OUI;#N/A;210;#N/A;0.210;#N/A
507-PCB4;507;PCB4;NOUVELLE-AQUITAINE;Ble;N-A;2.21;359;124.8;Non mesure;314;34.32;8.3;219;42;7.0;12.48;57;19.84;OUI;#N/A;103;#N/A;0.103;#N/A
035-PCB11;35;PCB11;NOUVELLE-AQUITAINE;Ble;N-A;1.22;351;117.8;Non mesure;163;21.40;Non mesure;298;86;6.8;11.78;102;12.37;OUI;#N/A;36;#N/A;0.036;#N/A
085-PCM9;85;PCM9;NOUVELLE-AQUITAINE;Mais;N-A;3.66;54;244.0;100.0;482;48.99;286.1;156;9;8.2;24.40;14;28.32;OUI;#N/A;33;#N/A;0.033;#N/A
069-PCM7;69;PCM7;NOUVELLE-AQUITAINE;Mais;N-A;3.51;30;247.0;151.3;405;47.58;419.0;122;11;8.2;24.70;13;27.50;OUI;#N/A;50;#N/A;0.050;180.0
086-PCB3;86;PCB3;NOUVELLE-AQUITAINE;Ble;N-A;1.69;298;94.3;Non mesure;244;25.95;Non mesure;378;36;6.3;9.43;43;15.00;OUI;#N/A;37;#N/A;0.037;#N/A
011-PIC29;11;PIC 29;HAUTS-DE-FRANCE;Salade;HDF;1.61;426;143.0;Non mesure;217;21.38;11.4;219;104;8.0;14.30;23;12.36;OUI;31.7;195;9.06;0.195;#N/A
291-PIC30;291;PIC 30;HAUTS-DE-FRANCE;Salade;HDF;1.31;347;101.2;18.8;163;18.30;45.7;160;229;8.2;10.12;54;10.58;OUI;10.8;90;2.12;0.090;#N/A
008-PIC25;8;PIC 25;HAUTS-DE-FRANCE;Mais;HDF;1.08;349;73.5;11.3;93;16.78;37.3;109;373;7.9;7.35;39;9.70;OUI;#N/A;84;#N/A;0.084;#N/A
537-PIC32;537;PIC 32;HAUTS-DE-FRANCE;Ble;HDF;1.27;403;115.9;Non mesure;190;19.03;11.5;244;100;8.0;11.59;50;11.00;OUI;#N/A;49;#N/A;0.049;#N/A
038-PIC18;38;PIC 18;HAUTS-DE-FRANCE;Ble;HDF;1.26;334;112.9;Non mesure;175;19.08;14.6;229;213;8.1;11.29;35;11.03;OUI;#N/A;63;#N/A;0.063;#N/A
