"","id_parcelle","N_tot","limons_grossiers","CEC_a","argiles","limons_fins","sables_fins","pH","CEC_b","sables_grossiers","C_orga","phosphore_mg_kg"
"42","419",1.42,428,90.2,113,286,86,7.3,9.02,84,12.44,51
"43","556",2.32,327,88,100,233,158,6.4,8.8,178,21.48,92
"44","888",1.09,411,77.2,113,269,106,6.9,7.72,99,10.34,42
"45","232",2.43,343,119.2,121,266,105,7.4,11.92,162,23.72,136
"46","262",2.62,28,76.7,29,27,27,8.6,7.67,28,23.63,24
"47","487",3.49,82,182.8,298,157,52,8.4,18.28,275,20.93,103
"48","221",2.12,157,202.8,356,240,48,8.2,20.28,187,16.05,246
"49","194",2.52,45,124.2,201,99,75,7,12.42,577,11.82,36
"50","193",1.46,239,151.5,236,341,52,7.5,15.15,128,11.69,148
"51","305",0.94,118,111.8,242,132,113,8.6,11.18,184,7.56,40
"52","22",1.85,179,236.6,412,290,49,8.3,23.66,13,11.59,132
"53","306",1.09,149,141.1,243,180,193,8.2,14.11,224,8.24,92
"54","339",0.69,7,51.1,12,17,41,7.4,5.11,921,14.35,92
"55","297",1.67,48,112,192,66,96,8.2,11.2,567,20.56,32
"56","563",1.05,259,111.9,219,309,159,8.6,11.19,11,8.6,27
"57","325",0.69,32,39.8,35,29,189,8.1,3.98,712,10.43,45
"58","205",1.05,416,62.3,94,173,203,6.8,6.23,112,8.86,161
"59","207",1.02,421,64.6,93,177,192,6.5,6.46,115,9.1,123
"60","423",3.23,94,298.6,667,178,8,7.9,29.86,6,13.69,54
"61","402",2.47,134,212.1,401,229,16,8.5,21.21,5,17.12,43
"62","401",1.25,244,118.4,304,352,58,7,11.84,39,9.33,17
"63","398",0.85,286,63.1,139,277,209,6.8,6.31,88,7.09,13
"64","414",0.99,357,71.4,133,323,107,6.7,7.14,79,8.31,65
"65","425",1.22,308,92.6,186,350,88,8.4,9.26,50,11.48,83
"66","415",2.38,192,315.3,486,231,50,7.9,31.53,36,13.3,59
"67","422",2.13,235,193.4,390,294,34,7.7,19.34,41,10.95,53
"68","421",1.13,357,99.8,186,403,35,7,9.98,17,8.92,35
"69","245",3.87,81,239.5,563,295,24,7.6,23.95,29,20.73,150
"70","135",1.51,258,87.7,194,243,100,7.5,8.77,200,13.51,162
"71","169",1.41,297,93.6,205,243,110,8,9.36,141,10.84,185
"72","248",2.97,241,146.2,266,212,44,8.4,14.62,47,24.62,109
"73","173",2.18,244,161.8,353,247,62,7.8,16.18,91,16.31,239
"74","246",8.36,131,291.7,468,275,45,7.4,29.17,62,47.39,388
"75","346",1.01,233,63.3,110,201,111,6.8,6.33,344,11.28,28
"76","14",2.38,205,143.4,234,401,139,6.9,14.34,19,21.68,195
"77","113",1.73,86,77.7,91,55,13,8.2,7.77,19,16.76,63
"78","202",2.24,92,116.8,147,90,20,8.1,11.68,85,22.61,85
"79","285",2.77,217,196.5,398,347,18,7.9,19.65,7,23.66,109
"80","282",2.19,76,108.6,133,97,10,8.2,10.86,8,21.47,101
"81","2",2.2,209,178.4,327,282,159,7.3,17.84,19,20.13,110
"82","230",1.78,95,91.3,90,36,9,8.2,9.13,7,17.11,72
"83","271",2.84,61,128.2,185,93,20,7.9,12.82,19,25.24,99
"84","510",6.92,188,284.2,367,244,22,7.7,28.42,36,70.61,284
"85","526",1.98,50,119,189,78,8,8.3,11.9,2,16.46,47
