"","id_parc_an","id_parcelle","annee","forbs_100","graminoid_100","annual_100","perennial_100","indigenous_100","neophytes_100","rich_sp","shannon","invsimp","simpson","nat_val_100","agrotolerant_100","messicole_100","not_messicole_100","seed_prone_100","other_seeds_100","weeds_100","not_weeds_100"
"648","AL020_2017",518,2017,34.375,65.625,3.125,96.875,100,0,10,0.590021662163256,1.51943400729339,0.341860195836126,93.75,6.25,0,100,65.625,34.375,34.375,65.625
"649","AL020_2018",518,2018,34.0909090909091,65.9090909090909,36.3636363636364,63.6363636363636,100,0,14,0.625501392890027,1.53460895646855,0.348368197784273,81.8181818181818,18.1818181818182,0,100,70.4545454545455,29.5454545454545,56.8181818181818,43.1818181818182
"650","AL021_2013",460,2013,20,80,30,70,100,0,13,0.586682074281263,1.4810305351478,0.324794475017216,70,30,0,100,85,15,15,85
"651","AL021_2014",460,2014,2.12765957446809,97.8723404255319,31.9148936170213,68.0851063829787,100,0,9,0.598084478810528,1.48903148444615,0.328422528035427,85.1063829787234,14.8936170212766,0,100,97.8723404255319,2.12765957446809,14.8936170212766,85.1063829787234
"652","AL021_2015",460,2015,7.14285714285714,92.8571428571429,23.2142857142857,76.7857142857143,100,0,14,0.624184302160713,1.49944162663489,0.333085074979383,89.2857142857143,10.7142857142857,0,100,92.8571428571429,7.14285714285714,12.5,87.5
"653","AL021_2016",460,2016,28.0701754385965,71.9298245614035,17.5438596491228,82.4561403508772,100,0,19,0.632422656734525,1.50041730946824,0.333518752623288,89.4736842105263,10.5263157894737,0,100,71.9298245614035,28.0701754385965,12.280701754386,87.719298245614
"654","AL021_2017",460,2017,32.3943661971831,67.6056338028169,35.2112676056338,64.7887323943662,100,0,21,0.669490775200006,1.5167963546259,0.340715715098985,76.056338028169,23.943661971831,0,100,74.6478873239437,25.3521126760563,35.2112676056338,64.7887323943662
"655","AL021_2018",460,2018,31.8181818181818,68.1818181818182,11.3636363636364,88.6363636363636,100,0,13,0.596554903056551,1.4846381983279,0.326435220967461,97.7272727272727,2.27272727272727,0,100,68.1818181818182,31.8181818181818,2.27272727272727,97.7272727272727
"656","AL022_2018",542,2018,47.4576271186441,52.5423728813559,20.3389830508475,79.6610169491525,100,0,18,0.669855652018118,1.57089796044563,0.36342141553464,79.6610169491525,20.3389830508475,0,100,57.6271186440678,42.3728813559322,23.728813559322,76.271186440678
"657","AL023_2018",543,2018,53.6585365853659,46.3414634146341,21.9512195121951,78.0487804878049,100,0,10,0.619419073704678,1.55019469008718,0.354919735956673,60.9756097560976,39.0243902439024,9.75609756097561,90.2439024390244,53.6585365853659,46.3414634146341,4.8780487804878,95.1219512195122
"658","AL024_2018",544,2018,65.8536585365854,34.1463414634146,2.4390243902439,97.5609756097561,100,0,11,0.620131648619996,1.55099759668485,0.355253675352282,85,15,0,100,36.5853658536585,63.4146341463415,19.5121951219512,80.4878048780488
"659","AQ001_2015",498,2015,51.7857142857143,48.2142857142857,41.0714285714286,58.9285714285714,100,0,16,0.645542427432356,1.53178771902747,0.347168026236102,57.1428571428571,42.8571428571429,0,100,57.1428571428571,42.8571428571429,75,25
"660","AQ001_2016",498,2016,58.8235294117647,41.1764705882353,33.3333333333333,66.6666666666667,100,0,13,0.630001113416815,1.52559510434978,0.344518085336799,54.9019607843137,45.0980392156863,0,100,52.9411764705882,47.0588235294118,82.3529411764706,17.6470588235294
"661","AQ002_2015",437,2015,73.4375,26.5625,73.4375,26.5625,95.3125,4.6875,18,0.643201867269391,1.48894578904114,0.328383875786382,35.9375,64.0625,3.125,96.875,39.0625,60.9375,46.875,53.125
"662","AQ002_2016",437,2016,74.0740740740741,25.9259259259259,62.962962962963,37.037037037037,96.2962962962963,3.7037037037037,20,0.620542961166474,1.47693797543344,0.322923496698275,27.7777777777778,72.2222222222222,3.7037037037037,96.2962962962963,35.1851851851852,64.8148148148148,55.5555555555556,44.4444444444444
"663","AQ004_2013",314,2013,87.2549019607843,12.7450980392157,13.7254901960784,86.2745098039216,100,0,19,0.666760666274847,1.42117438772499,0.296356584640683,87.2549019607843,12.7450980392157,0,100,15.6862745098039,84.3137254901961,7.84313725490196,92.156862745098
"664","AQ004_2014",314,2014,78.8321167883212,21.1678832116788,8.75912408759124,91.2408759124088,100,0,31,0.765878618363447,1.46215537689173,0.316078157079437,95.5882352941177,4.41176470588235,0,100,24.8175182481752,75.1824817518248,8.02919708029197,91.970802919708
"665","AQ004_2015",314,2015,75.7575757575758,24.2424242424242,11.3636363636364,88.6363636363636,100,0,22,0.738766940385375,1.45594871924315,0.313162622568303,90.1515151515152,9.84848484848485,0,100,27.2727272727273,72.7272727272727,8.33333333333333,91.6666666666667
"666","AQ004_2016",314,2016,72.972972972973,27.027027027027,21.6216216216216,78.3783783783784,100,0,14,0.59178134257937,1.38808610760039,0.279583597498346,86.4864864864865,13.5135135135135,0,100,28.3783783783784,71.6216216216216,40.5405405405405,59.4594594594595
"667","AQ004_2017",314,2017,74.6031746031746,25.3968253968254,25.3968253968254,74.6031746031746,100,0,15,0.56875043066964,1.37528363607045,0.272877264171289,82.5396825396825,17.4603174603175,0,100,25.3968253968254,74.6031746031746,28.5714285714286,71.4285714285714
"668","AQ004_2018",314,2018,67.5,32.5,7.5,92.5,100,0,11,0.50702028162655,1.34887041610747,0.258638941103202,70,30,0,100,32.5,67.5,22.5,77.5
"669","AQ005_2013",313,2013,70.2127659574468,29.7872340425532,14.8936170212766,85.1063829787234,100,0,15,0.529168331127528,1.35675895516293,0.262949401443298,61.7021276595745,38.2978723404255,0,100,31.9148936170213,68.0851063829787,8.51063829787234,91.4893617021277
"670","AQ005_2014",313,2014,77.6595744680851,22.3404255319149,1.06382978723404,98.936170212766,100,0,21,0.649848703043008,1.41070910670236,0.291136638128342,77.1739130434783,22.8260869565217,0,100,28.7234042553192,71.2765957446808,14.8936170212766,85.1063829787234
"671","AQ005_2015",313,2015,63.7362637362637,36.2637362637363,2.1978021978022,97.8021978021978,100,0,16,0.635035851679166,1.40699288491969,0.289264351854146,86.8131868131868,13.1868131868132,2.1978021978022,97.8021978021978,40.6593406593407,59.3406593406593,19.7802197802198,80.2197802197802
"672","AQ005_2016",313,2016,60.6060606060606,39.3939393939394,9.09090909090909,90.9090909090909,95.4545454545455,4.54545454545455,17,0.576047489916754,1.37795814686577,0.274288553484338,66.6666666666667,33.3333333333333,0,100,39.3939393939394,60.6060606060606,36.3636363636364,63.6363636363636
