"","id_parcelle","TypeCulture","region_biogeo","clust","code_postal","coord_x","coord_y"
"317",3,"GrandesCultures","ZM","2",34370,3.16695618471,43.3661765368
"318",4,"GrandesCultures","ZM","2",34500,3.3129295318,43.36105983
"319",338,"GrandesCultures","ZSO","3",11420,1.7326142505,43.2191870138
"320",300,"Maraichage","ZM","3",30340,4.20907300043,44.1696125518
"321",351,"Maraichage","ZM","2",66440,2.98442797647,42.7537708317
"322",196,"Vigne","ZSO","2",11240,2.09860899475,43.1124685615
"323",197,"Vigne","ZSO","2",11240,2.0984981027,43.110220254
"324",449,"Vigne","ZM","2",11130,2.96652424757,43.0137726066
"325",364,"Vigne","ZM","2",30330,4.57452807585,44.1111508681
"326",431,"Vigne","ZM","2",30390,4.66961446739,43.9473804393
"327",66,"Vigne","ZM","2",34150,3.54391644872,43.6622776962
"328",65,"Vigne","ZM","2",34150,3.54829655937,43.6369138576
"329",272,"Vigne","ZM","2",34210,2.72106014767,43.3048723934
"330",203,"Vigne","ZM","2",34490,3.13129543859,43.467729737
"331",67,"Vigne","ZM","2",34270,3.89005926709,43.8205193906
"332",64,"Vigne","ZM","2",34400,4.07557202742,43.7342252041
"333",352,"Vigne","ZM","2",66140,2.98767116259,42.6879628739
"334",385,"Vigne","ZM","2",66530,2.91870508904,42.7829221281
"335",477,"GrandesCultures","ZSO","3",81310,1.76427958583,43.8831380425
"336",473,"GrandesCultures","ZSO","2",81800,1.64904976893,43.779593205
"337",481,"GrandesCultures","ZSO","3",81310,1.81340519107,43.7940700724
"338",472,"Vigne","ZSO","2",81600,1.86745233911,43.9110573511
"339",479,"Vigne","ZSO","3",81150,2.02203024682,43.9854204321
"340",182,"Vigne","ZSO","2",81150,1.96993366195,43.883617375
"341",470,"GrandesCultures","ZSO","3",31410,1.26995619603,43.4207242102
"342",480,"GrandesCultures","ZSO","3",31600,1.24320855309,43.4347948857
"343",161,"GrandesCultures","ZSO","2",31600,1.32093586385,43.4420637462
"344",241,"GrandesCultures","ZSO","2",9270,1.69534499131,43.2292508758
"345",154,"GrandesCultures","ZSO","2",9100,1.69300487628,43.1463724705
"346",165,"GrandesCultures","ZSO","2",9500,1.75049707876,43.077542055
"347",166,"GrandesCultures","ZSO","3",9130,1.39267595911,43.1916126743
"348",474,"GrandesCultures","ZSO","3",31220,1.06462132183,43.2447374258
"349",151,"GrandesCultures","ZSO","2",31410,1.25958581083,43.3607801449
"350",152,"GrandesCultures","ZSO","3",32380,0.859984346892,43.8695303459
"351",162,"GrandesCultures","ZSO","3",82500,0.920820328293,43.8701211304
"352",134,"GrandesCultures","ZSO","3",82340,0.967573066525,44.0472512745
"353",250,"Maraichage","ZSO","2",31450,1.57300106169,43.5155851108
"354",170,"Maraichage","ZSO","2",31240,1.46750872652,43.6648216484
"355",324,"Maraichage","ZSO","2",31700,1.3946303466,43.6577267934
"356",323,"GrandesCultures","ZSO","2",65140,0.134881093596,43.3903742763
"357",150,"GrandesCultures","ZSO","1",65420,-0.0425847310248,43.2244518808
"358",172,"GrandesCultures","ZSO","1",65220,0.309735308488,43.3011991616
"359",247,"GrandesCultures","ZSO","3",65420,0.00987223377209,43.2487178235
"360",249,"GrandesCultures","ZSO","1",32240,-0.103949033233,43.8825932078
"361",153,"GrandesCultures","ZSO","1",32240,-0.0954946825744,43.8786045483
"362",239,"GrandesCultures","ZSO","1",32240,-0.176385955989,43.8137828757
"363",442,"GrandesCultures","ZSO","2",32460,-0.158921650898,43.754875138
"364",322,"Vigne","ZSO","3",32250,0.176363922925,43.9935384205
"365",89,"Vigne","ZSO","2",32800,0.0791909038453,43.8637254872
"366",485,"Vigne","ZSO","3",32100,0.338426433169,43.9654661261
"367",157,"GrandesCultures","MA","1",53700,-0.204989638442,48.3218954945
"368",164,"GrandesCultures","MA","1",53970,-0.782311930621,47.9622046
"369",156,"GrandesCultures","BPS","3",72240,-0.0507077811304,48.1413763708
"370",159,"GrandesCultures","MA","3",72140,-0.182849700828,48.1464088675
"371",155,"GrandesCultures","MA","3",72140,-0.0657366945454,48.1567462997
"372",392,"GrandesCultures","MA","1",53200,-0.798267958217,47.8540815296
"373",163,"GrandesCultures","MA","3",53400,-0.949966125473,47.8849161492
"374",141,"GrandesCultures","MA","3",53230,-0.928428411117,47.9470270897
"375",140,"GrandesCultures","MA","3",53230,-0.990125960919,47.9252316386
"376",45,"GrandesCultures","BPS","2",72800,0.301836608128,47.6301288395
"377",44,"GrandesCultures","BPS","3",72800,0.301373402306,47.6081669738
"378",238,"GrandesCultures","BPS","3",72800,0.0621984178438,47.6079266607
"379",142,"GrandesCultures","BPS","3",49490,0.0195769396997,47.586907133
"380",139,"GrandesCultures","MA","1",49440,-0.941747956403,47.6143651334
"381",167,"GrandesCultures","MA","1",49420,-1.20024154201,47.7359561887
"382",136,"GrandesCultures","MA","1",49420,-1.21060031569,47.7320992691
"383",137,"GrandesCultures","MA","1",44110,-1.33390153707,47.7885976224
"384",111,"Vigne","BPS","2",49610,-0.475808562541,47.3970016836
"385",521,"Vigne","BPS","2",49560,-0.418947841066,47.1056722892
"386",98,"Vigne","BPS","2",49260,-0.155857179762,47.149647182
"387",18,"Maraichage","BPS","2",49630,-0.332487,47.471495
"388",432,"Maraichage","BPS","2",49320,-0.244987881168,47.3314637097
"389",236,"Maraichage","BPS","2",49400,-0.0176836058125,47.2573645895
"390",192,"Vigne","MA","1",44330,-1.32165347862,47.1694190424
"391",483,"Vigne","MA","1",44690,-1.41752305567,47.1645182645
"392",222,"Vigne","MA","2",44430,-1.31946895243,47.2034862212
