"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Lycopus europaeus","Lycopus europaeus","Lycopus europaeus L., 1753",107038,107038,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Lycopus europaeus"
"Lysimachia foemina","Lysimachia foemina","Lysimachia foemina (Mill.) U.Manns & Anderb., 2009",706505,706505,"Angiospermes","Ericales","Primulaceae","Myrsinoideae","","Lysimachia foemina"
"Lysimachia arvensis","Lysimachia arvensis","Lysimachia arvensis (L.) U.Manns & Anderb., 2009",610909,610909,"Angiospermes","Ericales","Primulaceae","Myrsinoideae","","Lysimachia arvensis"
"Lysimachia nummularia","Lysimachia nummularia","Lysimachia nummularia L., 1753",107073,107073,"Angiospermes","Ericales","Primulaceae","Myrsinoideae","","Lysimachia nummularia"
"Lysimachia vulgaris","Lysimachia vulgaris","Lysimachia vulgaris L., 1753",107090,107090,"Angiospermes","Ericales","Primulaceae","Myrsinoideae","","Lysimachia vulgaris"
"Lythrum hyssopifolia","Lythrum hyssopifolia","Lythrum hyssopifolia L., 1753",107106,107106,"Angiospermes","Myrtales","Lythraceae","Lythroideae","","Lythrum hyssopifolia"
"Lythrum borysthenicum","Lythrum borysthenicum","Lythrum borysthenicum (Schrank) Litv., 1917",107097,107097,"Angiospermes","Myrtales","Lythraceae","Lythroideae","","Lythrum borysthenicum"
"Lythrum salicaria","Lythrum salicaria","Lythrum salicaria L., 1753",107117,107117,"Angiospermes","Myrtales","Lythraceae","Lythroideae","","Lythrum salicaria"
"Malus domestica","Malus domestica","Malus domestica (Suckow) Borkh., 1803 [nom. cons.]",107207,107207,"Angiospermes","Rosales","Rosaceae","Amygdaloideae","Pyreae","Malus domestica"
"Malva sylvestris","Malva sylvestris","Malva sylvestris L., 1753",107318,107318,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Malva sylvestris"
"Malva neglecta","Malva neglecta","Malva neglecta Wallr., 1824",107284,107284,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Malva neglecta"
"Malva multiflora","Malva multiflora","Malva multiflora (Cav.) Soldano & Banfi & Galasso, 2005",717790,717790,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Malva multiflora"
"Malva moschata","Malva moschata","Malva moschata L., 1753",107282,107282,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Malva moschata"
"Matricaria chamomilla","Matricaria chamomilla","Matricaria chamomilla L., 1753",107440,107440,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Matricaria chamomilla"
